"Recherche : ";"Statut : Active"
Filtres;"Date de début d'activité : Du 31/12/1947 Au 20/04/1948 ; Forme juridique : Autre société civile , GFA, Groupement foncier agricole , Indivision entre personnes physiques , SAS, société par actions simplifiée|SASU, Société par actions simplifiée unipersonnelle, SELARL, Société d'exercice libéral à responsabilité limitée|Société d'exercice libéral à responsabilité limitée à associé unique (SELARLU), SNC, Société en nom collectif , Société anonyme à conseil d'administration (sans autre indication), Société anonyme à directoire (sans autre indication), Société civile immobilière (SCI), Société civile immobilière de construction-vente, Société commerciale étrangère immatriculée au RCS, Société coopérative agricole , , CUMA, Coopérative d'utilisation de matériel agricole en commun , Établissement public local à caractère industriel ou commercial, GF, Groupement forestier , Régie d'une collectivité locale à caractère industriel ou commercial , SARL, Société à responsabilité limitée (sans autre indication)|Société à responsabilité limitée à associé unique (SARLU ou EURL), SCEA, Société civile d'exploitation agricole , SCS, Société en commandite simple "
"Dénomination / Nom";"Début d'activité";SIREN;Représentants;"Adresse du siège";"Forme juridique";Activité;Département;Etablissements;Capital;Statut
"LIBRAIRIE NOTRE DAME AYMON PAILLET";01/03/1948;'057501215;"ALAIN LOUIS MARIE PAILLET";"2 RUE LAFAYETTE 38000 GRENOBLE FRANCE ";"Société à responsabilité limitée";"Librairie, objets de piété, fournitures de bureau et notamment exploitation d'un fonds de commerce dénommé ""Librairie religieuse"".";'38;;20000;Active
"PATISSERIE CONFISERIE GROSS";01/03/1948;'308186139;;"66 RUE DU GENERAL GOURAUD 67210 OBERNAI FRANCE ";"Société par actions simplifiée";"Pâtisserie, confiserie, salon de thé. Exploitation d'une licence de petite ou grande restauration.";'67;"24 PL DES HALLES 67000 STRASBOURG FRANCE 13 RUE POINCARE 67210 OBERNAI FRANCE 1 PL DE LA VICTOIRE 67600 SELESTAT FRANCE RUE DU FORT 67118 GEISPOLSHEIM FRANCE 17 RUE DES ORFEVRES 67000 STRASBOURG FRANCE 2 RUE JEAN MARIE LEHN 67560 ROSHEIM FRANCE ";80000;Active
"SOC BORDELAISE FABRICATIONS METALLIQUES";01/03/1948;'775582117;"BENJAMIN BERTON, PATRICK RENE BERTON, PHILIPPE GUERMEUR";"1 LA FORET 33320 EYSINES FRANCE ";"Société par actions simplifiée";"Fabrication et négoce de grillages, pose de grillages, élaboration de matériels de clôture et de serrurerie, découpe de tous matériaux selon toutes techniques - étude et conseil pour le développement de son savoir faire et traitement de surface par  tous moyens.";'33;"37 RUE CONDORCET 33300 BORDEAUX FRANCE 18 RUE FARADAY 33700 MERIGNAC FRANCE 1 RUE GASPARD MONGE 33600 PESSAC FRANCE 98 RTE DES MONTS DU LYONNAIS 69510 MESSIMY FRANCE 12 RUE GUSTAVE COURBET 19100 BRIVE-LA-GAILLARDE FRANCE 15 RUE PLATON 19100 BRIVE-LA-GAILLARDE FRANCE ";750000;Active
"SOCIETE CIVILE FORESTIERE ET DE REBOISEMENT DU HAUT-JURA";01/03/1948;'830280657;"CATHERINE MARIE THERESE BOUVET, MICHEL CHRISTIAN MAURICE BOUVET, MARC SIMON RENE BOUVET, MARIE CHRISTINE MONNET, JACQUELINE MONNET, MIREILLE MARIE THERESE SEVE, BERNARD SEVE, MAURICE MARIE CAMILLE SEVE, François Alexis MONET";"3 CHE  3 Chemin du Meix d'Aval 39150 Nanchez FRANCE ";"Groupement forestier";"Constitution, amélioration, équipement, conservation ou gestion d'un ou plusieurs massifs forestiers avec leurs accessoires ou dépendances inséparables sur tous terrains boisés ou à boiser dont le groupement est ou sera propriétaire par acquisition, apport, donation ou autre.";'39;;4116.12;Active
"ZYDUS FRANCE";01/03/1948;'572197671;"PRADIPSINH SOLANKI, STEPHAN PLOQUIN";"25 RUE DES PEUPLIERS 92000 NANTERRE FRANCE ";"Société par actions simplifiée";"Laboratoire pharmaceutique";'92;"40 RUE LECUYER 93300 AUBERVILLIERS FRANCE 51 RUE DE PARADIS 75010 PARIS 10 FRANCE 61 RUE LECUYER 93300 AUBERVILLIERS FRANCE ";7776536;Active
"SOURCE DU VAL SAINT LAMBERT";01/03/1948;'619804206;;"12 CHE DE LA MESSE 78470 SAINT-LAMBERT FRANCE ";"Société par actions simplifiée";"La production et la vente de toutes eaux de sources naturelles et gazéifiées limonades sirops et dérives";'78;"30310 VERGEZE FRANCE 64680 OGEU-LES-BAINS FRANCE 10 AV DES FRERES LUMIERE 78190 TRAPPES FRANCE ";2648000;Active
"FANTOLI PERE ET FILS";01/03/1948;'336581020;;"20 RUE DE POUILLON 51100 REIMS FRANCE ";"SA à conseil d'administration";"Entreprise générale de travaux plubics et particuliers.";'51;;;Active
"SCI SAINT MEDARD";01/03/1948;'323305383;"GENEVIEVE SIMONE HENRY, CHRISTIANE SOLANGE HENRY";;"Société civile immobilière de construction - vente";;;"78 BD JEANNE D ARC 02200 SOISSONS FRANCE ";464.97;Active
"CULTURE MECANIQUE ET ELEVAGE MODERNE";01/03/1948;'356801951;"FRANCOISE CHEVALIER, SANDRINE MARIANNE PIERRON";"1 RUE DE NONTRON 57670 NEBING FRANCE ";"Société à responsabilité limitée";"Exploitation agricole - élevage bétail - transformation et vente tous produits agricoles et laitiers- achat et vente de tous produits d'alimentation.";'57;;197120;Active
"SCI DE TRONCHINE";02/03/1948;'443947437;"ROSINE Béguin, ERIC Béguin, CHRISTIAN Béguin, MARIE-MADELEINE Béguin, MICHEL Béguin, PHILIPPE Dupont, ANNIK Dupont, PHILAE Lachaux, BILAL Lachaux";"115 RUE CAMBRONNE 75015 PARIS FRANCE ";"Société civile immobilière";"Propriété, administration et exploitation d'un immeuble sis à Thones (74)";'75;"15 AV STEPHANE MALLARME 75017 PARIS FRANCE 5 RUE PIERRE DEMOURS 75017 PARIS FRANCE ";128057.17;Active
